Date,Home_Away,Opponent,Points_for,Points_against,Record,Conf_Record,Off_Rush_YDS,Off_Rush_TD,Off_Rush_Long,Off_Rec_ATT,Off_Rec_YDS,Off_Rec_TD,Off_Rec_Long,Off_Pass_YDS,Off_Pass_TD,Off_Pass_Long,Solo,Ast,Tot,TFL,TFL_YDS,Sacks,Sack_YDS,FF,FR,INT,Opp_Rush_ATT,Opp_Rush_YDS,Opp_Rush_TD,Opp_Rush_Long,Opp_Rec_ATT,Opp_Rec_YDS,Opp_Rec_TD,Opp_Rec_Long,Opp_Pass_YDS,Opp_Pass_TD,Opp_Pass_Long
9/17/2022,at,Defiance,42,23,3-0  0-0,,103,1,29,27,377,5,65,377,5,65,42,32,74,8,38,2,11,0,0,0,41,208,0,23,21,285,3,64,285,3,64
9/24/2022,at,Alfred,23,31,3-1,0-0,38,0,12,28,305,2,32,305,2,32,44,24,68,3,17,1,13,1,1,1,48,316,4,80,13,127,0,35,127,0,35
10/1/2022,vs,Albion,6,48,3-2,0-1,82,0,26,20,104,1,25,104,1,25,44,44,88,2,7,1,5,1,0,1,39,182,4,37,31,336,2,29,336,2,29
10/8/2022,at,Olivet,17,41,3-3,0-2,35,0,12,23,226,1,20,226,1,20,35,18,53,2,3,0,0,0,0,0,40,320,3,28,12,186,2,53,186,2,53
10/15/2022,at,Adrian,17,42,3-4,0-3,25,1,8,16,154,1,38,154,1,38,62,16,78,11,36,1,6,2,1,1,53,214,3,25,21,267,3,38,267,3,38
10/22/2022,vs,Alma,21,45,3-5,0-4,139,0,22,21,264,3,41,264,3,41,44,32,76,6,18,1,6,0,0,1,39,276,3,67,26,254,3,35,254,3,35
10/29/2022,at,Hope,20,66,3-6,0-5,-13,0,16,28,334,3,48,334,3,48,19,78,97,4,10,1,1,0,0,0,51,222,7,25,23,382,2,50,382,2,50
11/12/2022,vs,Trine,19,42,3-7,0-6,96,1,35,21,212,2,54,212,2,54,34,36,70,8,30,3,21,0,0,0,35,217,2,99,17,270,3,39,270,3,39
9/4/2021,at,Oberlin,24,17,1-0,0-0,69,2,20,14,204,1,43,204,1,43,45,44,89,11,38,0,0,1,2,2,33,94,0,28,35,307,2,30,307,2,30
09/11/2021,at,Central(IA),13,69,1-1,0-0,57,1,11,16,138,1,39,138,1,39,68,18,86,10,28,2,10,1,1,0,57,304,2,41,23,365,7,53,365,7,53
9/18/2021,vs,Bluffton,20,21,1-2,0-0,192,0,34,22,259,2,70,259,2,70,40,10,50,2,12,2,12,1,0,0,27,67,1,10,20,218,2,52,218,2,52
9/25/2021,vs,Alfred,7,10,1-3,0-0,10,0,16,15,129,1,18,129,1,18,40,14,54,6,20,1,8,0,0,0,42,185,1,27,10,76,0,19,76,0,19
10/02/2021,at,Hope,0,67,1-4,0-1,43,0,11,10,65,0,16,65,0,16,39,24,63,5,11,0,0,0,0,0,43,282,4,55,20,398,5,59,398,5,59
10/9/2021,vs,Alma,3,28,1-5,0-2,25,0,10,13,102,0,17,102,0,17,52,20,72,9,38,3,16,0,0,1,46,155,1,27,20,232,3,40,232,3,40
10/16/2021,vs,Albion,0,49,1-6,0-3,44,0,10,11,105,0,37,105,0,37,51,14,65,3,3,0,0,0,0,1,33,145,2,17,30,353,5,42,353,5,42
10/23/2021,at,Trine,13,47,1-7,0-4,43,0,27,12,153,1,39,153,1,39,31,48,79,6,14,1,5,1,2,1,45,197,1,36,12,328,5,99,328,5,99
10/30/2021,at,Olivet,7,49,1-8,0-5,14,1,15,15,123,0,15,123,0,15,32,38,70,5,11,0,0,0,0,0,37,307,4,72,19,187,3,28,187,3,28
11/13/2021,vs,Adrian,21,33,1-9,0-6,141,1,29,18,226,2,46,226,2,46,44,10,54,4,17,2,13,1,1,2,33,183,1,24,20,275,4,41,275,4,41
9/7/2019,at,Oberlin,3,0,1-0,0-0,47,0,24,19,183,0,37,183,0,37,44,30,74,3,16,3,16,2,1,3,41,120,0,10,15,130,0,31,130,0,31
9/14/2019,at,Greenville,17,31,1-1,0-0,129,1,33,22,183,1,36,183,1,36,29,50,79,11,38,3,23,0,0,0,36,42,0,10,16,229,3,57,229,3,57
9/21/2019,vs,Lakeland,7,28,1-2,0-0,41,0,11,19,201,1,31,201,1,31,55,26,81,7,14,0,0,0,0,1,49,160,3,16,24,288,1,38,288,1,38
10/5/2019,at,Adrian,27,30,1-3,0-1,256,2,45,11,136,1,53,136,1,53,33,38,71,4,10,1,6,0,0,2,38,144,2,25,24,301,1,67,301,1,67
10/12/2019,vs,Finlandia,44,0,2-3,1-1,353,5,31,6,70,0,39,70,0,39,33,24,57,16,64,6,35,0,0,0,42,75,0,22,3,13,0,17,13,0,17
10/19/2019,vs,Albion,17,37,2-4,1-2,65,1,23,28,255,1,23,255,1,23,41,28,69,2,6,1,4,1,0,2,43,261,4,52,15,136,0,25,136,0,25
10/26/2019,at,Alma,10,28,2-5,1-3,70,0,28,16,130,0,20,130,0,20,40,52,92,5,13,2,9,3,1,0,49,171,4,21,18,234,0,64,234,0,64
11/2/2019,vs,Olivet,20,30,2-6,1-4,102,1,52,18,193,2,28,193,2,28,54,34,88,7,29,4,22,1,1,1,47,139,3,15,19,210,0,30,210,0,30
11/9/2019,vs,Hope,21,49,2-7,1-5,71,1,27,20,189,2,52,189,2,52,56,26,82,7,23,3,14,3,2,0,61,416,6,38,9,83,1,23,83,1,23
11/16/2019,at,Trine,3,29,2-8,1-6,42,0,32,13,130,0,26,130,0,26,34,36,70,1,6,1,6,0,0,0,48,234,3,51,8,91,0,20,91,0,20
9/1/2018,vs,Oberlin,24,7,1-0,0-0,160,2,54,15,157,1,34,157,1,34,38,22,60,5,32,4,29,3,4,0,38,142,1,47,13,204,0,38,204,0,38
9/8/2018,vs,Greenville,42,7,2-0,0-0,134,1,25,18,208,4,28,208,4,28,48,34,82,8,23,3,14,0,1,2,52,163,0,14,13,140,1,35,140,1,35
9/15/2018,at,Rockford,23,7,3-0,0-0,258,1,20,16,173,1,39,173,1,39,28,40,68,8,21,4,15,0,0,0,29,31,0,7,18,128,1,14,128,1,14
9/29/2018,vs,Adrian,31,30,4-0,1-0,115,1,21,24,240,3,28,240,3,28,43,28,71,4,28,2,20,0,0,2,41,189,1,37,19,349,3,79,349,3,79
10/6/2018,at,Finlandia,56,7,5-0,2-0,268,2,26,23,247,4,23,247,4,23,32,38,70,11,58,6,47,1,1,0,26,-33,0,7,14,140,1,37,140,1,37
10/13/2018,at,Albion,20,19,6-0,3-0,104,0,23,18,211,1,58,211,1,58,42,10,52,4,21,4,21,0,0,0,32,105,1,12,18,161,1,35,161,1,35
10/20/2018,vs,Alma,17,10,7-0,4-0,161,0,20,11,73,1,13,73,1,13,47,26,73,7,16,1,9,0,0,0,45,144,0,21,12,86,1,15,86,1,15
10/27/2018,at,Olivet,17,21,7-1,4-1,13,0,12,17,199,2,38,199,2,38,48,24,72,6,24,2,14,0,0,0,51,236,2,22,12,83,1,17,83,1,17
11/3/2018,at,Hope,7,33,7-2,4-2,43,0,18,12,94,1,19,94,1,19,40,40,80,5,26,3,20,2,2,0,50,245,4,31,13,127,1,18,127,1,18
